utt,ch1,ch2,ch3,ch4,ch5,ch6
F06_445C020D_BTH,0.985,0.924,0.985,0.994,0.994,0.989
F06_445C020N_BTH,0.993,0.976,0.993,0.999,0.999,0.997
F06_445C020U_BTH,0.994,0.983,0.994,0.999,0.999,0.998
F06_445C020V_BTH,0.996,0.996,0.995,0.999,0.999,0.999
F06_445C020Z_BTH,0.993,0.984,0.993,0.998,0.998,0.997
F06_445C0211_BTH,0.991,0.822,0.991,0.995,0.995,0.991
F06_445C0212_BTH,0.993,0.948,0.993,0.998,0.998,0.996
F06_445C0214_BTH,0.986,0.845,0.986,0.997,0.997,0.989
F06_445C0215_BTH,0.990,0.946,0.990,0.998,0.998,0.996
F06_446C0201_BTH,0.981,0.905,0.981,0.994,0.996,0.996
F06_446C0204_BTH,0.994,0.969,0.994,0.998,0.998,0.996
F06_446C0205_BTH,0.987,0.880,0.987,0.997,0.997,0.994
F06_446C0208_BTH,0.986,0.942,0.986,0.997,0.999,0.999
F06_446C0209_BTH,0.991,0.940,0.991,0.998,0.998,0.995
F06_446C020A_BTH,0.988,0.956,0.988,0.999,0.999,0.997
F06_446C020D_BTH,0.986,0.927,0.986,0.995,0.995,0.995
F06_446C020J_BTH,0.994,0.974,0.994,0.999,0.999,0.998
F06_446C020M_BTH,0.979,0.940,0.979,0.997,0.998,0.998
F06_446C020O_BTH,0.992,0.981,0.992,0.998,0.998,0.997
F06_446C020R_BTH,0.987,0.950,0.979,0.998,0.998,0.997
F06_446C020X_BTH,0.977,0.971,0.977,0.996,0.996,0.996
F06_446C020Z_BTH,0.993,0.979,0.993,0.999,0.999,0.998
F06_446C0210_BTH,0.977,0.946,0.977,0.994,0.997,0.997
F06_447C0202_BTH,0.993,0.980,0.993,0.999,0.999,0.995
F06_447C0205_BTH,0.997,0.997,0.997,1.000,1.000,0.998
F06_447C0208_BTH,0.990,0.983,0.990,0.998,0.998,0.998
F06_447C020G_BTH,0.995,0.990,0.995,0.999,0.999,0.998
F06_447C020I_BTH,0.993,0.944,0.993,0.998,0.998,0.997
F06_447C020J_BTH,0.994,0.992,0.994,0.999,0.999,0.998
F06_447C020K_BTH,0.981,0.976,0.981,0.999,0.997,0.999
F06_447C020N_BTH,0.960,0.953,0.960,0.997,0.997,0.997
F06_447C020P_BTH,0.987,0.884,0.987,0.997,0.997,0.994
F06_447C020Z_BTH,0.993,0.960,0.993,0.998,0.998,0.995
F06_447C0212_BTH,0.987,0.888,0.987,0.996,0.996,0.995
F06_447C0213_BTH,0.990,0.987,0.990,0.999,0.999,0.992
F06_447C0214_BTH,0.994,0.997,0.997,0.999,0.999,0.998
F06_447C0217_BTH,0.989,0.942,0.989,0.995,0.998,0.998
F06_440C0206_BUS,0.898,0.876,0.925,0.968,0.978,0.978
F06_440C0208_BUS,0.927,0.823,0.879,0.954,0.963,0.963
F06_440C020A_BUS,0.836,0.865,0.865,0.986,0.986,0.974
F06_440C020B_BUS,0.930,0.970,0.970,0.915,0.630,0.915
F06_440C020K_BUS,0.975,0.977,0.977,0.985,0.987,0.987
F06_440C020Q_BUS,0.865,0.913,0.913,0.914,0.984,0.984
F06_440C020R_BUS,0.931,0.925,0.931,0.987,0.987,0.980
F06_440C020Z_BUS,0.923,0.852,0.869,0.960,0.960,0.917
F06_440C0211_BUS,0.948,0.895,0.948,0.935,0.839,0.948
F06_440C0212_BUS,0.910,0.950,0.950,0.909,0.797,0.909
F06_441C0203_BUS,0.947,0.971,0.971,0.972,0.980,0.980
F06_441C0204_BUS,0.883,0.868,0.878,0.969,0.973,0.973
F06_441C020G_BUS,0.930,0.930,0.909,0.952,0.964,0.964
F06_441C020K_BUS,0.829,0.890,0.890,0.955,0.966,0.966
F06_441C020R_BUS,0.932,0.935,0.935,0.964,0.964,0.959
F06_441C020U_BUS,0.850,0.892,0.892,0.990,0.990,0.968
F06_441C020Z_BUS,0.931,0.914,0.914,0.970,0.976,0.976
F06_441C0215_BUS,0.907,0.921,0.921,0.987,0.987,0.972
F06_441C0216_BUS,0.934,0.806,0.934,0.952,0.953,0.953
F06_442C0202_BUS,0.919,0.904,0.919,0.960,0.962,0.962
F06_442C020E_BUS,0.883,0.832,0.906,0.964,0.964,0.938
F06_442C020M_BUS,0.929,0.978,0.978,0.920,0.930,0.930
F06_442C020Q_BUS,0.973,0.984,0.988,0.990,0.990,0.988
F06_442C020S_BUS,0.950,0.956,0.956,0.939,0.770,0.939
F06_442C020V_BUS,0.969,0.977,0.977,0.981,0.985,0.985
F06_442C0212_BUS,0.945,0.962,0.962,0.942,0.942,0.941
F06_442C0213_BUS,0.881,0.654,0.881,0.971,0.971,0.962
F06_442C0216_BUS,0.922,0.838,0.886,0.949,0.975,0.975
F06_443C0204_BUS,0.878,0.710,0.874,0.951,0.952,0.952
F06_443C020T_BUS,0.880,0.862,0.880,0.989,0.989,0.973
F06_444C020A_BUS,0.968,0.978,0.978,0.989,0.989,0.984
F06_444C020E_BUS,0.949,0.968,0.968,0.985,0.985,0.978
F06_444C020I_BUS,0.919,0.960,0.960,0.934,0.790,0.934
F06_444C020J_BUS,0.971,0.980,0.981,0.986,0.986,0.982
F06_444C020N_BUS,0.974,0.981,0.981,0.992,0.992,0.991
F06_444C020Q_BUS,0.885,0.945,0.945,0.984,0.984,0.978
F06_444C020X_BUS,0.962,0.927,0.962,0.938,0.406,0.938
F06_444C020Z_BUS,0.979,0.989,0.989,0.990,0.990,0.989
F06_444C0211_BUS,0.946,0.945,0.948,0.952,0.972,0.972
F06_444C0213_BUS,0.954,0.896,0.954,0.973,0.973,0.963
F06_445C0201_BUS,0.927,0.909,0.927,0.884,0.852,0.888
F06_445C0202_BUS,0.958,0.977,0.980,0.978,0.980,0.971
F06_445C0203_BUS,0.926,0.949,0.949,0.987,0.987,0.983
F06_445C020B_BUS,0.949,0.962,0.962,0.972,0.977,0.977
F06_445C020C_BUS,0.982,0.986,0.986,0.991,0.993,0.993
F06_445C020D_BUS,0.954,0.940,0.954,0.941,0.972,0.972
F06_445C020N_BUS,0.961,0.960,0.970,0.983,0.983,0.982
F06_445C020U_BUS,0.834,0.954,0.954,0.834,0.900,0.921
F06_445C020V_BUS,0.890,0.860,0.892,0.904,0.969,0.969
F06_445C020Z_BUS,0.918,0.923,0.923,0.962,0.968,0.968
F06_445C0211_BUS,0.950,0.950,0.944,0.936,0.895,0.936
F06_445C0212_BUS,0.945,0.922,0.922,0.988,0.988,0.976
F06_445C0214_BUS,0.943,0.939,0.943,0.964,0.964,0.963
F06_445C0215_BUS,0.928,0.974,0.974,0.943,0.968,0.968
F06_446C0201_BUS,0.916,0.777,0.916,0.951,0.951,0.932
F06_446C0204_BUS,0.928,0.954,0.954,0.987,0.987,0.981
F06_446C0205_BUS,0.956,0.928,0.956,0.914,0.950,0.950
F06_446C0208_BUS,0.872,0.899,0.899,0.980,0.980,0.968
F06_446C0209_BUS,0.868,0.963,0.963,0.947,0.961,0.961
F06_446C020A_BUS,0.863,0.956,0.956,0.924,0.963,0.963
F06_446C020D_BUS,0.945,0.972,0.972,0.951,0.692,0.951
F06_446C020J_BUS,0.966,0.971,0.987,0.986,0.986,0.987
F06_446C020M_BUS,0.946,0.894,0.948,0.955,0.879,0.955
F06_446C020O_BUS,0.894,0.935,0.935,0.969,0.971,0.971
F06_446C020R_BUS,0.902,0.909,0.909,0.989,0.989,0.977
F06_446C020X_BUS,0.870,0.834,0.870,0.979,0.979,0.977
F06_446C020Z_BUS,0.978,0.979,0.979,0.990,0.990,0.990
F06_446C0210_BUS,0.945,0.965,0.965,0.951,0.436,0.951
F06_447C0202_BUS,0.951,0.978,0.979,0.986,0.986,0.976
F06_447C0205_BUS,0.973,0.973,0.972,0.979,0.989,0.989
F06_447C0208_BUS,0.929,0.922,0.922,0.942,0.977,0.977
F06_447C020G_BUS,0.963,0.965,0.965,0.818,0.957,0.957
F06_447C020I_BUS,0.924,0.969,0.969,0.922,0.908,0.922
F06_447C020J_BUS,0.975,0.988,0.988,0.987,0.990,0.990
F06_447C020K_BUS,0.913,0.885,0.929,0.949,0.954,0.954
F06_447C020N_BUS,0.969,0.969,0.965,0.981,0.983,0.983
F06_447C020P_BUS,0.900,0.868,0.893,0.969,0.969,0.932
F06_447C020Z_BUS,0.896,0.940,0.940,0.970,0.970,0.969
F06_447C0212_BUS,0.870,0.785,0.870,0.968,0.968,0.905
F06_447C0213_BUS,0.940,0.907,0.926,0.978,0.978,0.977
F06_447C0214_BUS,0.978,0.985,0.983,0.986,0.988,0.988
F06_447C0217_BUS,0.925,0.942,0.942,0.948,0.916,0.948
F06_440C0201_CAF,0.930,0.848,0.911,0.966,0.966,0.872
F06_440C0205_CAF,0.928,0.809,0.924,0.977,0.977,0.888
F06_440C020N_CAF,0.918,0.764,0.918,0.959,0.959,0.954
F06_440C020U_CAF,0.939,0.851,0.939,0.985,0.985,0.965
F06_440C020V_CAF,0.947,0.879,0.947,0.987,0.987,0.980
F06_440C020Y_CAF,0.926,0.760,0.884,0.944,0.944,0.936
F06_441C0209_CAF,0.966,0.980,0.980,0.988,0.988,0.986
F06_441C020A_CAF,0.940,0.940,0.904,0.983,0.983,0.971
F06_441C020C_CAF,0.948,0.859,0.948,0.945,0.965,0.965
F06_441C020D_CAF,0.941,0.785,0.941,0.989,0.989,0.978
F06_441C020F_CAF,0.950,0.944,0.950,0.976,0.976,0.956
F06_441C020L_CAF,0.906,0.862,0.906,0.977,0.977,0.947
F06_441C020S_CAF,0.868,0.821,0.868,0.947,0.947,0.907
F06_441C020V_CAF,0.943,0.925,0.943,0.976,0.976,0.938
F06_441C0210_CAF,0.924,0.918,0.925,0.989,0.989,0.974
F06_441C0213_CAF,0.930,0.740,0.930,0.944,0.966,0.966
F06_442C0203_CAF,0.959,0.794,0.959,0.990,0.990,0.978
F06_442C0207_CAF,0.938,0.824,0.928,0.983,0.983,0.951
F06_442C020C_CAF,0.917,0.803,0.917,0.962,0.962,0.928
F06_442C020F_CAF,0.899,0.809,0.878,0.914,0.928,0.928
F06_442C020G_CAF,0.933,0.804,0.933,0.978,0.978,0.955
F06_442C020K_CAF,0.921,0.870,0.892,0.981,0.981,0.967
F06_442C020T_CAF,0.935,0.821,0.929,0.969,0.969,0.906
F06_442C020Z_CAF,0.932,0.760,0.927,0.964,0.964,0.891
F06_442C0210_CAF,0.953,0.938,0.938,0.986,0.986,0.980
F06_443C0201_CAF,0.906,0.876,0.906,0.961,0.961,0.934
F06_443C0208_CAF,0.952,0.765,0.952,0.982,0.982,0.972
F06_443C020C_CAF,0.922,0.711,0.922,0.948,0.958,0.958
F06_443C020J_CAF,0.947,0.883,0.946,0.973,0.973,0.893
F06_443C020K_CAF,0.940,0.833,0.940,0.987,0.987,0.981
F06_443C020L_CAF,0.960,0.877,0.960,0.988,0.988,0.976
F06_443C020M_CAF,0.892,0.832,0.892,0.966,0.966,0.939
F06_443C020P_CAF,0.901,0.820,0.901,0.983,0.983,0.960
F06_443C020R_CAF,0.910,0.855,0.910,0.982,0.982,0.955
F06_443C020U_CAF,0.918,0.793,0.918,0.981,0.981,0.953
F06_443C020Z_CAF,0.951,0.964,0.964,0.990,0.990,0.950
F06_443C0211_CAF,0.917,0.758,0.917,0.979,0.979,0.965
F06_443C0212_CAF,0.904,0.925,0.925,0.986,0.986,0.963
F06_443C0213_CAF,0.930,0.837,0.913,0.961,0.961,0.902
F06_444C0203_CAF,0.929,0.750,0.929,0.980,0.980,0.962
F06_444C020I_CAF,0.953,0.727,0.953,0.986,0.986,0.969
F06_444C020O_CAF,0.932,0.730,0.932,0.980,0.980,0.963
F06_444C020T_CAF,0.897,0.853,0.897,0.984,0.984,0.966
F06_444C020U_CAF,0.954,0.801,0.954,0.965,0.977,0.977
F06_444C020V_CAF,0.901,0.851,0.875,0.937,0.937,0.799
F06_444C020W_CAF,0.911,0.851,0.911,0.899,0.965,0.965
F06_444C020Y_CAF,0.923,0.918,0.923,0.983,0.983,0.961
F06_444C020Z_CAF,0.930,0.942,0.942,0.984,0.984,0.971
F06_444C0213_CAF,0.935,0.958,0.958,0.982,0.982,0.966
F06_445C0207_CAF,0.937,0.865,0.941,0.982,0.982,0.935
F06_445C020H_CAF,0.962,0.976,0.976,0.990,0.990,0.986
F06_445C020K_CAF,0.896,0.907,0.907,0.953,0.953,0.950
F06_445C020L_CAF,0.911,0.690,0.901,0.925,0.955,0.955
F06_445C020P_CAF,0.890,0.909,0.909,0.968,0.968,0.941
F06_445C020S_CAF,0.925,0.965,0.965,0.981,0.981,0.963
F06_445C020T_CAF,0.959,0.799,0.959,0.983,0.983,0.978
F06_445C0210_CAF,0.904,0.814,0.884,0.938,0.938,0.858
F06_446C0202_CAF,0.946,0.916,0.946,0.981,0.981,0.948
F06_446C0203_CAF,0.953,0.844,0.916,0.967,0.967,0.924
F06_446C0205_CAF,0.934,0.841,0.934,0.977,0.977,0.946
F06_446C0206_CAF,0.940,0.790,0.940,0.934,0.960,0.960
F06_446C0207_CAF,0.965,0.847,0.965,0.991,0.991,0.977
F06_446C020A_CAF,0.940,0.884,0.940,0.958,0.958,0.951
F06_446C020B_CAF,0.935,0.954,0.954,0.983,0.983,0.964
F06_446C020C_CAF,0.922,0.808,0.922,0.975,0.975,0.965
F06_446C020P_CAF,0.940,0.918,0.940,0.975,0.975,0.972
F06_446C020Q_CAF,0.927,0.927,0.906,0.980,0.980,0.948
F06_446C020T_CAF,0.943,0.858,0.943,0.989,0.989,0.977
F06_446C020U_CAF,0.977,0.818,0.977,0.986,0.986,0.979
F06_446C020V_CAF,0.949,0.965,0.965,0.988,0.988,0.976
F06_446C020W_CAF,0.903,0.769,0.903,0.942,0.942,0.893
F06_446C020X_CAF,0.959,0.914,0.959,0.991,0.991,0.982
F06_446C0213_CAF,0.960,0.820,0.960,0.940,0.967,0.967
F06_447C0204_CAF,0.947,0.800,0.947,0.983,0.983,0.964
F06_447C0207_CAF,0.936,0.889,0.936,0.969,0.969,0.924
F06_447C020C_CAF,0.900,0.877,0.882,0.970,0.970,0.929
F06_447C020O_CAF,0.946,0.925,0.946,0.985,0.985,0.920
F06_447C020U_CAF,0.953,0.809,0.935,0.976,0.976,0.933
F06_447C020W_CAF,0.914,0.878,0.914,0.966,0.966,0.943
F06_447C020X_CAF,0.952,0.835,0.952,0.979,0.979,0.960
F06_447C0213_CAF,0.937,0.847,0.937,0.955,0.960,0.960
F06_447C0216_CAF,0.944,0.910,0.941,0.974,0.974,0.941
F06_440C0203_PED,0.983,0.911,0.975,0.991,0.991,0.971
F06_440C0207_PED,0.971,0.875,0.971,0.975,0.988,0.988
F06_440C020C_PED,0.975,0.923,0.975,0.987,0.987,0.983
F06_440C020D_PED,0.956,0.956,0.949,0.989,0.989,0.985
F06_440C020L_PED,0.960,0.843,0.960,0.980,0.981,0.981
F06_440C020M_PED,0.950,0.892,0.950,0.986,0.986,0.977
F06_440C020S_PED,0.967,0.952,0.967,0.991,0.992,0.992
F06_440C020Y_PED,0.903,0.894,0.903,0.985,0.985,0.958
F06_441C0201_PED,0.972,0.879,0.972,0.990,0.990,0.982
F06_441C0202_PED,0.944,0.862,0.935,0.977,0.977,0.966
F06_441C0205_PED,0.978,0.877,0.978,0.990,0.990,0.980
F06_441C0206_PED,0.983,0.916,0.981,0.991,0.991,0.990
F06_441C0208_PED,0.910,0.903,0.910,0.988,0.988,0.987
F06_441C020C_PED,0.914,0.923,0.923,0.981,0.981,0.960
F06_441C020D_PED,0.942,0.940,0.942,0.993,0.993,0.990
F06_441C020E_PED,0.963,0.902,0.963,0.990,0.990,0.981
F06_441C020H_PED,0.927,0.912,0.927,0.990,0.990,0.985
F06_441C020I_PED,0.975,0.931,0.975,0.988,0.988,0.977
F06_441C020J_PED,0.944,0.921,0.944,0.992,0.992,0.989
F06_441C020L_PED,0.954,0.898,0.954,0.978,0.978,0.969
F06_441C020P_PED,0.948,0.951,0.951,0.990,0.990,0.984
F06_441C020W_PED,0.971,0.923,0.971,0.982,0.982,0.982
F06_441C020X_PED,0.953,0.843,0.953,0.984,0.984,0.980
F06_441C0210_PED,0.981,0.906,0.981,0.992,0.992,0.991
F06_441C0213_PED,0.844,0.868,0.918,0.971,0.972,0.972
F06_442C0207_PED,0.927,0.933,0.933,0.988,0.988,0.982
F06_442C0208_PED,0.960,0.897,0.960,0.992,0.992,0.989
F06_442C0209_PED,0.976,0.908,0.976,0.992,0.992,0.984
F06_442C020B_PED,0.911,0.834,0.930,0.967,0.967,0.963
F06_442C020D_PED,0.966,0.893,0.966,0.983,0.983,0.980
F06_442C020O_PED,0.964,0.916,0.964,0.989,0.989,0.986
F06_442C020R_PED,0.974,0.914,0.974,0.986,0.986,0.981
F06_442C020S_PED,0.950,0.941,0.941,0.990,0.990,0.983
F06_442C0211_PED,0.972,0.923,0.974,0.991,0.991,0.980
F06_443C0204_PED,0.969,0.969,0.969,0.989,0.989,0.988
F06_443C0205_PED,0.938,0.935,0.930,0.984,0.984,0.977
F06_443C0206_PED,0.969,0.847,0.969,0.980,0.982,0.982
F06_443C0209_PED,0.972,0.933,0.971,0.988,0.988,0.986
F06_443C020C_PED,0.911,0.862,0.911,0.976,0.976,0.966
F06_443C020I_PED,0.952,0.854,0.952,0.966,0.966,0.957
F06_443C020N_PED,0.973,0.902,0.973,0.978,0.988,0.988
F06_443C020O_PED,0.968,0.930,0.968,0.992,0.992,0.986
F06_443C020V_PED,0.971,0.908,0.971,0.982,0.983,0.983
F06_443C0214_PED,0.932,0.932,0.940,0.980,0.980,0.973
F06_444C0208_PED,0.935,0.936,0.936,0.980,0.980,0.973
F06_444C0209_PED,0.948,0.890,0.948,0.981,0.981,0.973
F06_444C020J_PED,0.956,0.894,0.956,0.989,0.990,0.990
F06_444C020P_PED,0.956,0.856,0.956,0.989,0.989,0.984
F06_444C020R_PED,0.931,0.934,0.934,0.984,0.984,0.976
F06_444C020S_PED,0.974,0.898,0.974,0.978,0.986,0.986
F06_444C020U_PED,0.964,0.883,0.964,0.988,0.988,0.982
F06_444C020W_PED,0.937,0.931,0.937,0.990,0.990,0.985
F06_444C020X_PED,0.922,0.839,0.922,0.971,0.971,0.961
F06_444C0212_PED,0.927,0.905,0.931,0.969,0.977,0.977
F06_444C0214_PED,0.966,0.914,0.968,0.984,0.988,0.988
F06_445C0209_PED,0.940,0.911,0.940,0.982,0.982,0.974
F06_445C020A_PED,0.965,0.925,0.967,0.986,0.986,0.977
F06_445C020G_PED,0.928,0.936,0.936,0.981,0.981,0.970
F06_445C020Q_PED,0.959,0.959,0.959,0.991,0.991,0.988
F06_445C020R_PED,0.945,0.908,0.945,0.989,0.989,0.982
F06_445C020S_PED,0.971,0.971,0.960,0.990,0.990,0.983
F06_445C020T_PED,0.972,0.939,0.975,0.992,0.992,0.990
F06_445C020W_PED,0.978,0.925,0.978,0.991,0.993,0.993
F06_445C0216_PED,0.962,0.897,0.962,0.990,0.990,0.984
F06_446C0204_PED,0.944,0.948,0.948,0.988,0.988,0.977
F06_446C020D_PED,0.952,0.912,0.961,0.982,0.986,0.986
F06_446C020F_PED,0.861,0.870,0.870,0.967,0.971,0.971
F06_446C020G_PED,0.934,0.934,0.917,0.964,0.972,0.972
F06_446C020H_PED,0.939,0.891,0.933,0.969,0.974,0.974
F06_446C020Z_PED,0.928,0.925,0.926,0.984,0.984,0.981
F06_446C0212_PED,0.935,0.910,0.935,0.991,0.991,0.990
F06_446C0214_PED,0.949,0.810,0.949,0.959,0.959,0.955
F06_447C0203_PED,0.975,0.931,0.975,0.992,0.994,0.994
F06_447C020A_PED,0.978,0.924,0.978,0.984,0.987,0.987
F06_447C020B_PED,0.920,0.909,0.920,0.990,0.990,0.984
F06_447C020D_PED,0.956,0.963,0.963,0.990,0.990,0.987
F06_447C020F_PED,0.978,0.876,0.978,0.975,0.990,0.990
F06_447C020J_PED,0.934,0.934,0.923,0.978,0.978,0.977
F06_447C020K_PED,0.972,0.945,0.972,0.994,0.995,0.995
F06_447C020P_PED,0.911,0.870,0.924,0.971,0.971,0.964
F06_447C020R_PED,0.968,0.881,0.968,0.982,0.982,0.971
F06_447C020V_PED,0.934,0.891,0.934,0.989,0.989,0.984
F06_447C0215_PED,0.957,0.920,0.957,0.994,0.994,0.990
F06_440C0202_STR,0.920,0.725,0.920,0.982,0.982,0.974
F06_440C0204_STR,0.863,0.693,0.863,0.980,0.980,0.967
F06_440C0209_STR,0.625,0.416,0.497,0.625,0.529,0.250
F06_440C020E_STR,0.868,0.628,0.868,0.483,0.665,0.672
F06_440C020F_STR,0.827,0.730,0.762,0.927,0.927,0.900
F06_440C020G_STR,0.744,0.585,0.515,0.830,0.830,0.795
F06_440C020H_STR,0.900,0.571,0.843,0.953,0.953,0.920
F06_440C020I_STR,0.733,0.476,0.465,0.733,0.656,0.264
F06_440C020K_STR,0.708,0.633,0.599,0.963,0.963,0.863
F06_440C020O_STR,0.943,0.732,0.943,0.993,0.993,0.979
F06_440C020P_STR,0.914,0.570,0.914,0.938,0.949,0.949
F06_440C020T_STR,0.554,0.791,0.888,0.943,0.947,0.947
F06_440C0210_STR,0.815,0.687,0.704,0.942,0.942,0.728
F06_440C0211_STR,0.831,0.320,0.788,0.576,0.831,0.606
F06_440C0212_STR,0.899,0.899,0.754,0.909,0.909,0.783
F06_441C0207_STR,0.556,0.636,0.160,0.764,0.764,0.291
F06_441C020K_STR,0.877,0.805,0.832,0.827,0.942,0.942
F06_441C020T_STR,0.945,0.810,0.945,0.974,0.982,0.982
F06_441C0214_STR,0.729,0.680,0.738,0.921,0.921,0.888
F06_441C0215_STR,0.583,0.503,0.583,0.232,0.362,0.362
F06_441C0216_STR,0.755,0.279,0.264,0.755,0.670,0.700
F06_442C0201_STR,0.971,0.637,0.971,0.987,0.987,0.975
F06_442C020A_STR,0.964,0.646,0.964,0.934,0.934,0.878
F06_442C020H_STR,0.817,0.729,0.899,0.909,0.967,0.967
F06_442C020I_STR,0.771,0.639,0.771,0.955,0.955,0.879
F06_442C020N_STR,0.852,0.482,0.774,0.843,0.852,0.204
F06_442C020P_STR,0.945,0.828,0.945,0.981,0.981,0.937
F06_442C020T_STR,0.732,0.725,0.249,0.732,0.487,0.486
F06_442C020W_STR,0.951,0.778,0.951,0.968,0.968,0.955
F06_442C0216_STR,0.743,0.671,0.588,0.969,0.969,0.953
F06_443C0202_STR,0.505,0.380,0.538,0.717,0.817,0.817
F06_443C0203_STR,0.558,0.504,0.872,0.504,0.952,0.952
F06_443C0205_STR,0.674,0.402,0.674,0.348,0.516,0.516
F06_443C0206_STR,0.915,0.658,0.915,0.965,0.965,0.945
F06_443C0207_STR,0.964,0.844,0.964,0.990,0.990,0.989
F06_443C020D_STR,0.918,0.778,0.918,0.924,0.954,0.954
F06_443C020I_STR,0.875,0.795,0.833,0.947,0.947,0.890
F06_443C020J_STR,0.758,0.438,0.854,0.913,0.913,0.889
F06_443C0210_STR,0.667,0.766,0.642,0.852,0.849,0.852
F06_444C0201_STR,0.873,0.744,0.837,0.924,0.951,0.951
F06_444C0202_STR,0.846,0.661,0.573,0.858,0.858,0.747
F06_444C020B_STR,0.655,0.629,0.655,0.383,0.166,0.305
F06_444C020C_STR,0.754,0.661,0.754,0.947,0.947,0.900
F06_444C020D_STR,0.939,0.524,0.939,0.965,0.967,0.967
F06_444C020F_STR,0.895,0.848,0.895,0.944,0.944,0.873
F06_444C020G_STR,0.920,0.915,0.930,0.962,0.963,0.963
F06_444C020H_STR,0.927,0.678,0.943,0.969,0.969,0.943
F06_444C020Y_STR,0.683,0.424,0.518,0.683,0.441,0.638
F06_444C0210_STR,0.860,0.813,0.917,0.945,0.949,0.949
F06_444C0214_STR,0.830,0.743,0.830,0.863,0.863,0.697
F06_445C0208_STR,0.802,0.380,0.481,0.934,0.934,0.907
F06_445C020I_STR,0.911,0.339,0.911,0.959,0.959,0.798
F06_445C020J_STR,0.635,0.676,0.828,0.410,0.911,0.911
F06_445C020M_STR,0.955,0.459,0.955,0.700,0.946,0.946
F06_445C020O_STR,0.928,0.576,0.934,0.976,0.976,0.955
F06_445C020P_STR,0.919,0.584,0.884,0.923,0.923,0.796
F06_445C020R_STR,0.919,0.804,0.919,0.947,0.964,0.964
F06_445C020X_STR,0.694,0.694,0.606,0.278,0.384,0.483
F06_445C020Y_STR,0.879,0.593,0.740,0.963,0.963,0.796
F06_445C0213_STR,0.798,0.602,0.939,0.891,0.891,0.939
F06_446C0206_STR,0.389,0.425,0.434,0.475,0.475,0.122
F06_446C020B_STR,0.907,0.555,0.907,0.939,0.939,0.912
F06_446C020C_STR,0.811,0.629,0.749,0.826,0.826,0.754
F06_446C020E_STR,0.889,0.745,0.889,0.977,0.977,0.933
F06_446C020I_STR,0.686,0.576,0.483,0.751,0.751,0.370
F06_446C020K_STR,0.779,0.779,0.785,0.742,0.848,0.848
F06_446C020L_STR,0.167,0.397,0.252,0.397,0.554,0.554
F06_446C020N_STR,0.881,0.557,0.769,0.983,0.983,0.708
F06_446C020S_STR,0.858,0.697,0.858,0.913,0.913,0.534
F06_446C020T_STR,0.807,0.562,0.652,0.807,0.697,0.443
F06_446C020V_STR,0.815,0.729,0.504,0.815,0.712,0.409
F06_446C020W_STR,0.867,0.621,0.867,0.909,0.909,0.787
F06_447C0201_STR,0.910,0.877,0.949,0.960,0.960,0.949
F06_447C0206_STR,0.291,0.244,0.629,0.253,0.629,0.401
F06_447C0209_STR,0.778,0.665,0.511,0.862,0.862,0.794
F06_447C020E_STR,0.888,0.783,0.392,0.976,0.943,0.976
F06_447C020H_STR,0.437,0.339,0.360,0.430,0.437,0.434
F06_447C020M_STR,0.937,0.556,0.937,0.974,0.974,0.957
F06_447C020S_STR,0.980,0.750,0.980,0.986,0.986,0.947
F06_447C020T_STR,0.642,0.564,0.478,0.735,0.735,0.620
F06_447C020Y_STR,0.830,0.700,0.582,0.913,0.913,0.515
F06_447C0210_STR,0.784,0.617,0.485,0.921,0.921,0.852
F06_447C0211_STR,0.805,0.667,0.531,0.917,0.917,0.298
F01_050C0103_BTH,0.987,0.978,0.987,0.985,0.985,0.984
F01_050C0105_BTH,0.991,0.969,0.991,0.988,0.988,0.985
F01_050C010C_BTH,0.990,0.989,0.990,0.993,0.993,0.991
F01_050C010G_BTH,0.988,0.987,0.988,0.992,0.993,0.993
F01_050C010J_BTH,0.986,0.976,0.986,0.981,0.981,0.981
F01_050C010K_BTH,0.982,0.983,0.983,0.988,0.988,0.983
F01_050C010L_BTH,0.993,0.979,0.993,0.993,0.993,0.987
F01_050C010O_BTH,0.990,0.985,0.990,0.990,0.990,0.984
F01_050C010P_BTH,0.985,0.982,0.985,0.990,0.990,0.985
F01_050C010R_BTH,0.993,0.976,0.993,0.989,0.989,0.987
F01_050C010U_BTH,0.989,0.985,0.989,0.993,0.993,0.988
F01_050C010W_BTH,0.992,0.943,0.992,0.994,0.994,0.981
F01_050C0112_BTH,0.985,0.969,0.985,0.992,0.992,0.983
F01_050C0116_BTH,0.992,0.994,0.994,0.988,0.994,0.994
F01_051C0104_BTH,0.994,0.994,0.994,0.993,0.993,0.993
F01_051C0105_BTH,0.992,0.970,0.992,0.994,0.994,0.987
F01_051C010A_BTH,0.985,0.976,0.989,0.992,0.992,0.989
F01_051C010H_BTH,0.988,0.987,0.988,0.990,0.990,0.986
F01_051C010K_BTH,0.983,0.983,0.982,0.990,0.990,0.988
F01_051C010R_BTH,0.993,0.960,0.993,0.994,0.994,0.987
F01_051C010T_BTH,0.989,0.978,0.989,0.991,0.991,0.989
F01_051C010W_BTH,0.985,0.990,0.990,0.989,0.989,0.977
F01_051C010Y_BTH,0.978,0.955,0.978,0.989,0.989,0.975
F01_051C0111_BTH,0.991,0.982,0.991,0.990,0.987,0.988
F01_051C0113_BTH,0.987,0.967,0.987,0.984,0.984,0.974
